"","FishSize"
"1",3
"2",3
"3",3
"4",3
"5",3
"6",3
"7",3
"8",3
"9",3
"10",3
"11",3
"12",3
"13",3
"14",3
"15",3
"16",3
"17",3
"18",3
"19",3
"20",3
"21",3
"22",3
"23",3
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",4
"42",4
"43",4
"44",4
"45",4
"46",4
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",4
"58",4
"59",4
"60",4
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",4
"89",4
"90",4
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",4
"98",4
"99",4
"100",4
"101",4
"102",4
"103",4
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",4
"112",4
"113",4
"114",4
"115",4
"116",4
"117",4
"118",4
"119",4
"120",4
"121",4
"122",4
"123",4
"124",4
"125",4
"126",4
"127",4
"128",4
"129",4
"130",4
"131",4
"132",4
"133",4
"134",4
"135",4
"136",4
"137",4
"138",4
"139",4
"140",4
"141",4
"142",4
"143",4
"144",4
"145",4
"146",4
"147",4
"148",4
"149",4
"150",4
"151",4
"152",4
"153",4
"154",4
"155",4
"156",4
"157",4
"158",4
"159",4
"160",4
"161",4
"162",4.5
"163",4.5
"164",5
"165",5
"166",5
"167",5
"168",5
"169",5
"170",5
"171",5
"172",5
"173",5
"174",5
"175",5
"176",5
"177",5
"178",5
"179",5
"180",5
"181",5
"182",5
"183",5
"184",5
"185",5
"186",5
"187",5
"188",5
"189",5
"190",5
"191",5
"192",5
"193",5
"194",5
"195",5
"196",5
"197",5
"198",5
"199",5
"200",5
"201",5
"202",5
"203",5
"204",5
"205",5
"206",5
"207",5
"208",5
"209",5
"210",5
"211",5
"212",5
"213",5
"214",5
"215",5
"216",5
"217",5
"218",5
"219",5
"220",5
"221",5
"222",5
"223",5
"224",5
"225",5
"226",5
"227",5
"228",5
"229",5
"230",5
"231",5
"232",5
"233",5
"234",5
"235",5
"236",5
"237",5
"238",5
"239",5
"240",5
"241",5
"242",5
"243",5
"244",5
"245",5
"246",5
"247",5
"248",5
"249",5
"250",5
"251",5
"252",5
"253",5
"254",5
"255",5
"256",5
"257",5
"258",5
"259",5
"260",5
"261",5
"262",5
"263",5
"264",5
"265",5
"266",5
"267",5
"268",5
"269",5
"270",5
"271",5
"272",5
"273",5
"274",5
"275",5
"276",5
"277",5
"278",5
"279",5
"280",5
"281",5
"282",5
"283",5
"284",5
"285",5
"286",5
"287",5
"288",5
"289",5
"290",5
"291",5
"292",5
"293",5
"294",5
"295",5
"296",5
"297",5
"298",5
"299",5
"300",5
"301",5
"302",5
"303",5
"304",5
"305",5
"306",5
"307",5
"308",5
"309",5
"310",5
"311",5
"312",5
"313",5
"314",5
"315",5
"316",5
"317",5
"318",5
"319",5
"320",5
"321",5
"322",5
"323",5
"324",5
"325",5
"326",5
"327",5
"328",5
"329",5
"330",5
"331",5
"332",5
"333",5
"334",5
"335",5
"336",5
"337",5
"338",5
"339",5
"340",5
"341",5
"342",5
"343",5
"344",5
"345",5
"346",5
"347",5
"348",5
"349",5
"350",5
"351",5
"352",5
"353",5
"354",5
"355",5
"356",5
"357",5
"358",5
"359",5
"360",5
"361",5
"362",5
"363",5
"364",5
"365",5
"366",5
"367",5
"368",5
"369",5
"370",5
"371",5
"372",5
"373",5
"374",5
"375",5
"376",5
"377",5
"378",5
"379",5
"380",5
"381",5
"382",5
"383",5
"384",5
"385",5
"386",5
"387",5
"388",5
"389",5
"390",5
"391",5
"392",5
"393",5
"394",5
"395",5
"396",5
"397",5
"398",5
"399",5
"400",5
"401",5
"402",5
"403",5
"404",5
"405",5
"406",5
"407",5
"408",5
"409",5
"410",5
"411",5
"412",5
"413",5
"414",5
"415",5
"416",5
"417",5
"418",5
"419",5
"420",5
"421",5
"422",5
"423",5
"424",5
"425",5
"426",5
"427",5
"428",5
"429",5
"430",5
"431",5
"432",5
"433",5
"434",5
"435",5
"436",5
"437",5
"438",5
"439",5
"440",5
"441",5
"442",5
"443",5
"444",5
"445",5
"446",5
"447",5
"448",5
"449",5
"450",5
"451",5
"452",5
"453",5
"454",5
"455",5
"456",5
"457",5
"458",5
"459",5
"460",5
"461",5
"462",6
"463",6
"464",6
"465",6
"466",6
"467",6
"468",6
"469",6
"470",6
"471",6
"472",6
"473",6
"474",6
"475",6
"476",6
"477",6
"478",6
"479",6
"480",6
"481",6
"482",6
"483",6
"484",6
"485",6
"486",6
"487",6
"488",6
"489",6
"490",6
